鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
淡水區,建物,新北市淡水區水源街二段151~180號,0.0,住,,,1091016,土地0建物0車位0,三層,3,公寓(5樓含以下無電梯),農舍,加強磚造,0740129,44.06,1,1,2,有,無,有,6500,148,,0.0,0,部分承租。,RPRNMLOJJIPFFEF58CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段121~150號,12.03,住,,,1091030,土地1建物1車位1,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,61.78,1,1,1,有,有,有,13000,210,坡道平面,23.8,0,,RPVOMLOJJIPFFEF09CC
淡水區,建物,新北市淡水區鄧公路1~30號,0.0,住,,,1091103,土地0建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860604,163.07,3,2,2,有,有,有,19000,117,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為21111，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為19000。,RPUPMLOJJIPFFEF09CC
淡水區,建物,新北市淡水區濱海路二段202巷1~30號,0.0,住,,,1091019,土地0建物1車位1,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1031021,174.82999999999998,0,0,0,無,有,無,27000,154,坡道平面,31.27,0,,RPORMLOJJIPFFEF68CC
三重區,建物,新北市三重區溪尾街325巷5弄1~30號,0.0,住,,,1091101,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761003,89.9,3,2,1,有,無,有,18000,200,,0.0,0,,RPXPMLOJJIPFFGF96CC
蘆洲區,建物,新北市蘆洲區三民路361~390號,0.0,其他,,,1091028,土地0建物1車位1,二層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040409,229.06,4,1,2,有,有,有,40500,177,坡道平面,23.39,0,租金未含管理費,RPUQMLOJJIPFFGF76CC
三重區,建物,新北市三重區重新路一段91~120號,0.0,其他,,,1091030,土地0建物1車位0,二十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,63.55,1,0,1,有,有,有,19099,301,,0.0,0,,RPQRMLOJJIPFFGF09CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,62.31999999999999,1,0,1,有,有,有,17168,275,,0.0,0,,RPRRMLOJJIPFFGF56CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,六層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,69.08,1,0,1,有,有,有,17500,253,,0.0,0,,RPSRMLOJJIPFFGF66CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,69.08,1,0,1,有,有,有,20199,292,,0.0,0,,RPTRMLOJJIPFFGF76CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,二十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,69.08,1,0,1,有,有,有,23888,346,,0.0,0,,RPURMLOJJIPFFGF86CC
三重區,建物,新北市三重區重新路一段151~180號,0.0,其他,,,1091030,土地0建物1車位0,十三層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,46.209999999999994,1,0,1,有,有,有,14990,324,,0.0,0,,RPVRMLOJJIPFFGF96CC
三重區,建物,新北市三重區重新路一段91~120號,0.0,其他,,,1091030,土地0建物1車位0,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,102.85000000000001,2,1,1,有,有,有,27889,271,,0.0,0,,RPWRMLOJJIPFFGF07CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,106.91,2,1,1,有,有,有,29393,275,,0.0,0,,RPXRMLOJJIPFFGF17CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,二十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,91.85,2,1,1,有,有,有,29318,319,,0.0,0,,RPOSMLOJJIPFFGF98CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091030,土地0建物1車位0,二十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,98.31,2,1,1,有,有,有,27950,284,,0.0,0,,RPPSMLOJJIPFFGF09CC
